x,y,f
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
-4.0,3.0,61.5
